Timestamp,[M3GAN],[The Whale],[The Menu],[Black Panther: Wakanda Forever],[Everything Everywhere All At Once],[Knives Out]
1/31/2023 16:41:43,1,3,3,2,4,N/A
1/31/2023 17:21:55,1,4,3,2,2,4
1/31/2023 17:31:53,1,1,1,1,4,1
1/31/2023 17:39:44,N/A,N/A,N/A,N/A,N/A,4
1/31/2023 17:40:07,N/A,N/A,N/A,N/A,N/A,4
1/31/2023 17:40:12,1,2,5,3,4,4
1/31/2023 17:41:31,5,3,4,4,4,5
1/31/2023 17:57:41,N/A,N/A,N/A,3,N/A,5
1/31/2023 18:01:26,N/A,N/A,N/A,4,N/A,N/A
1/31/2023 18:05:54,N/A,N/A,N/A,4,N/A,N/A
1/31/2023 19:11:38,N/A,N/A,4,N/A,5,3
1/31/2023 20:09:14,4,4,5,N/A,5,N/A
1/31/2023 20:19:22,2,1,1,3,4,2
1/31/2023 21:18:55,N/A,N/A,N/A,3,5,3
2/1/2023 9:09:23,N/A,4,4,5,5,5
2/1/2023 15:57:06,N/A,N/A,N/A,5,4,4
2/1/2023 23:47:31,N/A,N/A,N/A,N/A,N/A,N/A
2/2/2023 0:04:24,N/A,N/A,N/A,4,4,N/A
2/2/2023 20:13:56,N/A,N/A,5,N/A,5,3